Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
sentence-transformers/paraphrase-mpnet-base-v2,5353,94054,132096,118185,125078,97192,79550,117249,77834,0,81696,74107,108314,99853,77040,123509,96521
cl-tohoku/bert-base-japanese-whole-word-masking,37702,371851,336545,280369,199874,192491,194854,174250,141615,132331,197009,151273,114254,125451,175499,272266,273217
sentence-transformers/bert-base-nli-mean-tokens,84692,687325,588327,575359,650387,569213,465154,422953,133995,0,149466,168664,127871,111125,190136,343959,230760
hfl/chinese-bert-wwm-ext,12332,442991,271656,116850,224369,106342,94451,203692,64837,0,105942,91659,87620,115148,117554,162353,95439
openai/clip-vit-base-patch32,38655,519729,486343,203622,2057036,1385243,1415819,1220288,192724,0,251744,208911,192211,243073,312218,253836,217338
sentence-transformers/paraphrase-MiniLM-L6-v2,44988,506159,456640,452771,498976,477001,414512,548331,568563,0,465010,435351,457407,470911,488203,502075,471034
cross-encoder/ms-marco-MiniLM-L-12-v2,9766,61369,415754,392703,283865,307876,293327,122944,84118,979801,1323263,1498811,444302,66080,37245,21209,22333
bert-large-uncased,72206,836848,323775,390578,243136,245096,152697,183428,620666,545969,562769,546997,529159,536060,484510,598811,280711
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,18086,124661,149480,132428,168205,222775,164438,200068,190000,0,103177,145474,149076,215555,109542,105430,111128
distilbert-base-multilingual-cased,4193,83307,179347,190696,150184,147244,116665,1544860,1218689,119103,134484,175581,122172,117849,114865,213095,145399
facebook/bart-large-cnn,7105,89841,87009,98297,103689,97972,116912,134026,177727,197353,185883,210193,137137,143136,170239,175243,199365
deepset/roberta-base-squad2,30184,328745,304011,252699,280852,213669,198246,249328,222842,261369,261246,230038,315368,267667,2648762,390503,489577
bert-base-multilingual-uncased,25407,237209,674852,68346,81621,220000,193171,106655,74387,98842,127921,254906,205735,412800,388716,122924,375072
prithivida/parrot_paraphraser_on_T5,779,7648,6908,42303,75641,38761,22138,59906,54962,0,225076,225707,239422,240946,251289,241410,184819
sentence-transformers/all-MiniLM-L12-v2,40326,176525,65128,45760,47186,67218,72808,127173,127434,0,459061,172473,193303,170176,159978,162903,147368
camembert-base,15180,152636,130486,109706,93272,94702,74601,88402,94957,95258,100779,89472,105668,105068,98772,101853,65466
facebook/bart-base,10086,136862,155297,173438,134271,128763,171106,132755,139481,109657,113952,216053,140863,114193,115660,199179,122766
facebook/wav2vec2-base-960h,17770,169780,156616,124499,88600,59865,144713,75161,92897,67787,190447,214688,459939,98055,89360,120349,95120
nlptown/bert-base-multilingual-uncased-sentiment,23010,158888,94264,177452,89050,83853,51287,86345,75895,0,151100,109582,80205,131075,195438,227132,298061
gpt2-medium,4104,66422,86854,72976,51606,148809,170171,134628,104938,0,220100,117524,108892,89698,97419,97319,106408
microsoft/codebert-base,2409,194781,471575,54328,843472,307371,225991,310548,256610,0,301079,335354,374297,427721,505063,376312,336949
bert-large-uncased-whole-word-masking-finetuned-squad,7424,119231,122739,79852,61222,70251,93103,75378,99645,75051,125795,87711,94112,85701,91435,92292,118671
sentence-transformers/distiluse-base-multilingual-cased-v2,6994,52921,45309,64852,63039,76815,100138,237228,136956,0,42688,64774,237083,101395,32404,276654,43717
microsoft/deberta-v3-large,19786,137116,118082,106296,93183,106581,105295,143076,70174,0,58310,72395,64233,100824,77390,96806,90450
cardiffnlp/twitter-roberta-base-sentiment,6234,83860,103971,87048,115464,212012,232868,186685,448803,309545,171370,108841,160618,297916,210739,214919,3371957
sshleifer/distilbart-cnn-12-6,4311,82572,102045,356169,456538,427896,209293,144142,136699,0,138609,98707,110805,134411,145086,134934,133260
microsoft/layoutlm-base-uncased,8314,126592,166948,153608,211269,127720,75542,95789,116945,0,254203,176808,88192,90520,99866,90829,82553
distilbert-base-cased,3116,45069,48546,134036,51984,43044,162088,88165,107947,85856,71015,62347,68852,119363,82170,112525,117238
distilroberta-base,63233,491928,354719,328913,118671,186207,57989,101541,78637,44622,48606,40547,2683830,2407379,63711,68710,52747
microsoft/layoutlmv2-base-uncased,10610,311864,187923,173513,158234,90517,84578,133875,118049,0,105430,104223,137792,180262,206052,157693,200307
allenai/scibert_scivocab_uncased,3390,373433,313341,133606,106502,49987,65216,131204,341807,101587,101541,79535,89540,86171,599600,143564,182037
facebook/bart-large,4552,55077,82234,128719,65333,52147,84465,83389,66760,44206,59288,58837,79478,113146,158213,185125,55571
EleutherAI/gpt-j-6B,1079,12182,13677,92311,216913,211104,211703,576180,294349,211688,217733,223260,219068,220930,221913,223289,193344
ProsusAI/finbert,12940,364179,337656,218783,187955,158911,218114,174740,161268,227631,141995,187028,658744,199436,196444,214812,195643
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,1648,25019,26182,34448,29715,24309,23175,37458,53438,0,28357,25233,30889,51154,56216,86346,40254
Helsinki-NLP/opus-mt-en-de,11163,125284,72169,112471,149711,137804,427498,369069,200764,91734,53360,49723,69452,56812,42876,39660,46400
microsoft/deberta-base,9540,93800,125902,115182,85724,54502,49128,62263,86017,0,1096578,5135075,9993451,9977963,4612332,2198228,1850433
distilbert-base-cased-distilled-squad,1393,97049,163805,131316,202826,109765,106646,123626,125870,196187,180458,246375,284745,246634,322206,360363,348099
microsoft/deberta-v3-base,2975,54570,57178,324965,141608,81999,76075,275728,105309,0,76557,87064,70577,89531,78423,77165,60809
sentence-transformers/all-distilroberta-v1,4782,48555,33943,34986,539313,75876,17622,51261,52749,0,19982,19751,21989,25768,28040,17379,15190
t5-large,3482,42370,191970,261221,61716,30052,33115,71522,55631,0,52134,70927,77660,111043,139210,151730,75192
bert-large-cased,3970,57722,57703,82312,84555,59064,110595,109569,83816,172291,92418,349518,107372,147047,144174,43922,95250
dslim/bert-base-NER,755,57272,16866,42005,36208,63699,81506,103205,111924,247240,157981,97095,119687,191962,127404,120407,95767
facebook/m2m100_418M,7810,79181,71859,76490,71217,119173,68862,68998,67809,35381,74966,64394,72457,77866,72102,66322,73719
jplu/tf-xlm-roberta-base,14992,151766,155671,156113,152285,147530,116509,154096,117822,0,142793,158129,156907,108476,86818,59632,24366
xlnet-base-cased,6778,72545,82463,118111,181650,54840,51134,106458,74213,0,91734,251869,173562,95471,84041,132540,177108
Helsinki-NLP/opus-mt-fr-en,1689,32144,77722,56695,64376,94191,91426,71892,66496,176538,146774,112650,55490,33899,33760,34481,34074
joeddav/xlm-roberta-large-xnli,964,30446,31909,32363,75506,128208,106748,110694,47857,0,49752,45722,25871,44242,56903,157181,108197
sentence-transformers/paraphrase-xlm-r-multilingual-v1,5818,87412,82229,90120,90002,80774,55856,76179,56978,0,79932,84318,141576,155859,90426,25811,25027
absa/classifier-rest-0.2,509,42408,97301,76952,77065,79612,83824,77309,80010,81706,60197,48884,47631,48979,48712,47943,44181
neuralmind/bert-base-portuguese-cased,3738,59094,60674,46254,55636,51318,58841,52052,39753,0,39682,45862,39075,39201,77053,75921,37951
tuner007/pegasus_paraphrase,1057,28034,18163,30261,30191,19586,52787,48900,25925,0,32053,40894,49325,31694,49565,71142,52713
google/bert_uncased_L-2_H-128_A-2,535,14147,81680,120750,668043,153014,134792,52216,48039,0,62119,442280,125400,61279,223234,66129,111106
emilyalsentzer/Bio_ClinicalBERT,45770,86999,53946,45312,46542,41316,37527,37749,49377,60888,94133,72588,97093,79945,72763,161468,126856
prajjwal1/bert-tiny,1041,50531,121391,81698,52289,37642,52048,64864,126042,0,322532,166799,195902,155215,339573,160183,176349
finiteautomata/beto-sentiment-analysis,9068,101445,113678,106633,102539,103149,115886,87550,44058,0,65851,53249,49360,50114,50688,91386,54202
microsoft/deberta-v2-xlarge,8724,84526,115181,114543,102791,73343,53279,77656,70172,0,55224,44073,59746,61921,65986,61493,36065
roberta-large-mnli,10327,135847,466023,122144,153433,90400,102758,79377,25126,0,17428,19532,14461,21435,143730,14847,13119
cl-tohoku/bert-base-japanese,17915,151538,141755,3197898,1507661,26807,26169,28804,38560,27756,58282,43766,43208,51307,50421,25871,58411
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,2081,66765,20405,86938,40734,19427,30423,26397,20428,0,23662,29613,47702,71157,40374,40988,31671
deepset/bert-large-uncased-whole-word-masking-squad2,5080,53538,60439,54906,57547,59729,52839,54266,57650,53332,66120,55506,57245,54694,55048,54083,45768
Helsinki-NLP/opus-mt-zh-en,70042,709669,668522,664678,607544,1253815,853329,701388,313435,16836,54895,73788,166805,24473,18270,28081,34038
google/electra-small-discriminator,5721,119320,93902,65740,68171,96772,63108,98081,85271,0,137043,104389,122765,130628,111062,209534,179531
allenai/longformer-base-4096,3035,31010,44463,56780,23508,20718,23573,27050,38423,29093,25488,38661,37339,35857,36459,48783,42179
Helsinki-NLP/opus-mt-es-en,1991,23323,26127,54964,66946,44623,23666,20394,25098,24265,54984,77686,73504,79012,43762,46979,31155
Helsinki-NLP/opus-mt-en-ROMANCE,8417,99032,44739,73113,108996,89110,92893,107074,104475,66575,39872,32989,46055,40739,26492,22177,36426
Helsinki-NLP/opus-mt-de-en,973,23415,43521,33956,163897,43681,24567,25473,30048,30600,27775,29913,37248,35086,30664,36578,24158
gpt2-large,14453,185517,104802,58651,45689,22110,43608,129259,102984,0,69401,75753,34759,40509,54509,60395,40643
mrm8488/t5-base-finetuned-question-generation-ap,15037,175487,162928,164277,162083,162581,124722,166015,127339,0,155134,171429,238071,202818,199937,201015,178801
uer/gpt2-chinese-cluecorpussmall,6738,62884,72205,68802,68607,68817,56963,78069,55395,0,76298,98334,84072,83112,71719,69677,110315
yiyanghkust/finbert-tone,11187,75499,79859,68292,71553,67502,58913,84379,125505,0,87011,127584,152345,63182,25535,6173,27309
BaptisteDoyen/camembert-base-xnli,5013,53726,24598,19342,21304,21984,20881,21280,21188,22553,26433,20900,73146,37863,17801,27045,13699
cardiffnlp/twitter-roberta-base-sentiment-latest,1313,15705,39770,71802,40989,374876,196192,49762,206537,61347,26566,35684,59055,119782,38267,35532,257135
facebook/dpr-ctx_encoder-single-nq-base,7282,67781,80815,107200,78216,38545,37852,57498,84531,43444,75095,49253,57490,58745,84696,44781,31287
google/electra-base-discriminator,6019,30922,26673,34863,46907,46574,29943,50147,41454,0,32382,26771,40108,69534,67360,75198,16974
google/vit-base-patch16-224-in21k,1155,68260,89644,64244,37339,23746,27142,21340,18344,0,40655,27960,80043,17313,31719,22342,63554
oliverguhr/fullstop-punctuation-multilang-large,3383,51028,43033,50292,44188,67378,39281,40791,39609,0,86715,43514,8449,27788,9127,12725,7682
google/pegasus-xsum,20888,116738,106786,90035,76339,51122,48577,61279,73595,0,88679,71252,78969,82709,74828,59884,66861
sentence-transformers/distilbert-base-nli-mean-tokens,1761,52267,26987,28437,56365,21316,20046,19751,21861,0,184517,215180,46606,10123,11323,20107,10426
vinai/bertweet-base,38344,74290,131587,21241,32705,35735,68231,77214,30674,0,16504,60258,19362,14715,14920,16843,17258
ckiplab/albert-tiny-chinese,3823,42379,44668,42154,39225,49195,58795,46628,47217,40682,42006,56826,50320,16888,14234,13222,11314
facebook/dpr-question_encoder-single-nq-base,7186,64515,78577,104322,76005,36540,38625,53219,75688,42020,72678,46092,52491,57823,81002,42326,31082
deepset/minilm-uncased-squad2,207,7286,24533,5848,5282,103541,117904,122408,125369,119130,123579,122266,115423,116791,114173,113443,98043
DeepPavlov/rubert-base-cased-conversational,26294,267364,275937,315925,314936,319404,321900,322440,327762,331721,323658,328360,329502,333424,344464,362230,328708
gpt2-xl,1591,21812,25572,21269,36020,44911,23803,284076,21209,0,69723,20045,35540,52940,66996,50492,45244
Helsinki-NLP/opus-mt-ru-en,2647,34108,29684,42774,43297,47587,22228,20737,25278,20934,20887,26383,30103,27215,20840,22748,24491
EleutherAI/gpt-neo-1.3B,1174,21566,36669,19131,56728,40716,24391,24466,28116,23748,30777,27561,24722,30899,41196,104730,103898
mrm8488/t5-base-finetuned-common_gen,286,3693,13613,4590,81170,85367,64905,93773,76354,0,92502,96382,99288,100071,100405,100273,107408
philschmid/bart-large-cnn-samsum,3270,35744,32390,33278,34818,16117,13961,35852,26550,0,27397,29702,32655,28161,33160,35760,32400
j-hartmann/emotion-english-distilroberta-base,8973,64865,55021,62857,54087,52203,40545,65776,53405,0,113362,93908,110216,153357,115965,80136,52077
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,1825,14500,26847,39970,38920,39735,29484,39787,31802,0,44234,48597,94254,129301,137601,76182,53714
EleutherAI/gpt-neo-125M,3262,283257,92204,23486,14425,17078,18489,19897,90253,16988,26353,26223,62133,52616,37409,73667,447512
aubmindlab/bert-base-arabertv02,7504,78668,80280,80513,95766,65273,71772,78891,52262,6778,4533,4785,4737,5632,6579,5147,15240
fnlp/bart-base-chinese,4848,47677,43763,42562,45992,4279,4563,6332,5741,0,5172,5184,3487,4859,4002,5742,4882
smanjil/German-MedBERT,2864,28158,28908,28815,29000,29949,23119,28335,21437,0,26479,30918,28308,28232,28438,28327,26092
sentence-transformers/distiluse-base-multilingual-cased,31275,53726,31872,19144,231290,13311,4308,36904,34764,0,8324,25249,30656,27626,37396,51990,77256
dslim/bert-large-NER,518,73955,56527,86671,130688,95441,100402,55934,53178,204921,39051,42451,42855,51843,105629,62340,177014
facebook/mbart-large-50-many-to-many-mmt,1602,15155,7815,13713,84549,14192,14062,25378,23135,18070,27865,58043,44341,36747,29781,39214,67206
dbmdz/bert-large-cased-finetuned-conll03-english,1802,24775,43941,39143,59378,34017,29589,47352,38995,33839,26909,26829,21567,24367,29703,21446,20642
sentence-transformers/allenai-specter,1070,42892,48898,49228,49853,50240,37217,47221,35688,0,43924,45073,45197,45277,15179,323,1764
daigo/bert-base-japanese-sentiment,24015,276539,42759,5204,24907,56342,31442,19438,174808,169973,168671,168939,306165,308249,328740,264335,154606
monologg/koelectra-small-v3-discriminator,1406,34073,31171,22684,26206,22487,20839,32655,25965,0,17284,22744,18072,12848,19037,18388,24746
facebook/blenderbot-400M-distill,2050,19110,26132,22108,20862,42140,122157,24949,23308,13909,14065,13313,14671,14964,17848,15953,25888
google/mt5-small,1633,29279,31921,23211,17943,18815,21716,20106,16255,0,12476,13211,163805,36066,12947,26741,12396
Jean-Baptiste/roberta-large-ner-english,3282,29688,13810,34855,41320,41581,45830,50082,50312,38298,38014,36085,42671,46397,36034,37871,19737
EleutherAI/gpt-neo-2.7B,880,21123,28580,17769,29582,36235,22467,22371,25193,20368,26181,15104,16556,24682,28560,29309,44887
cahya/t5-base-indonesian-summarization-cased,4825,47147,46085,46402,45163,46196,45293,48513,49172,49220,48336,45345,11414,149,368,349,35
bhadresh-savani/distilbert-base-uncased-emotion,143,10185,17357,11530,7353,336919,155310,14770,14601,151158,277198,65089,39948,136823,109105,152181,181292
dmis-lab/biobert-v1.1,2636,29575,110434,59296,31067,51278,36020,71826,39269,20777,23074,23130,19850,11620,9619,17794,21425
monologg/bert-base-cased-goemotions-original,2746,34180,36202,34499,51882,53847,31773,70403,62648,0,18956,12842,10854,9735,9812,79009,12457
sentence-transformers/msmarco-distilbert-base-v4,225,76545,158452,167316,46809,6694,6675,7242,9931,0,6020,20741,4252,6390,6698,7827,5708
tals/albert-xlarge-vitaminc-mnli,497,1024,14109,391353,279060,913,56103,66298,1182,0,123515,218297,711104,1572289,480822,976646,916533
google/mt5-base,1995,25858,17956,85340,21061,15982,40680,21388,27437,0,23939,26526,25739,19294,16850,16725,14093
valhalla/distilbart-mnli-12-1,1912,32369,41065,31020,73895,27479,21209,45843,52339,0,23266,114152,72143,184310,35111,71459,91994
dslim/bert-base-NER-uncased,13576,122102,173970,172827,136480,7706,32479,152251,89018,106344,116476,88337,49755,29127,59823,36773,80268
dbmdz/bert-base-italian-xxl-cased,2512,16464,191911,271229,13143,15426,13055,27750,11285,36070,59104,38847,28846,18450,13137,8763,5924
oliverguhr/german-sentiment-bert,4910,58860,45598,66122,38341,50844,12040,14026,23588,0,39424,16475,121178,104847,15511,15646,19211
albert-base-v1,5603,48507,56595,48652,34528,40502,141298,45109,36020,27731,31757,25179,39433,28538,74061,104846,20665
Helsinki-NLP/opus-mt-fi-en,594,9783,11291,12579,18749,105371,11953,11542,9441,9975,9073,8706,10416,7976,8381,9066,9315
emilyalsentzer/Bio_Discharge_Summary_BERT,81,20994,25035,26518,24427,55071,81252,89799,66433,84258,67051,77865,74764,76385,73597,85849,99675
microsoft/deberta-v3-small,555,9947,20510,18572,32428,30641,18093,17455,7184,0,13187,21191,20522,28946,17071,12155,9128
Helsinki-NLP/opus-mt-it-en,274,7086,7491,25210,39758,37240,32975,9071,5571,7689,6208,6022,8010,5913,6611,7972,6601
mrm8488/diltilgpt2-finetuned-bookcopus-10,45,361939,430217,422237,413690,27016,1376,1454,397,0,50,76,122,30,0,19,
google/bigbird-roberta-base,8241,94733,94590,91395,135476,43922,45523,53204,61256,0,48377,46253,58202,50041,65832,34989,9654
cross-encoder/ms-marco-electra-base,1220,34356,83592,65482,71789,12859,3306,3716,14032,5403,4467,5137,14273,3571,26896,19342,10226
dccuchile/bert-base-spanish-wwm-uncased,136,6867,35446,55838,35833,14182,109616,104561,5888,6030,6598,5274,6212,9760,4757,10366,23759
patrickvonplaten/t5-tiny-random,1950,26158,35569,32289,24606,27412,16280,29475,27912,0,23289,15583,26219,25155,24866,33977,18024
cmarkea/distilcamembert-base-sentiment,683,7449,29115,40476,38498,34550,33102,31170,29251,35538,17770,20858,16190,10743,963,405,633
openai-gpt,4194,33173,44158,39415,30068,20466,19372,27035,30668,0,25577,24836,25075,26337,31519,20797,10836
typeform/distilbert-base-uncased-mnli,745,42659,44261,22800,23355,15883,17310,20856,17766,0,19734,28480,29767,29384,20675,26398,19206
microsoft/mpnet-base,4653,40245,55583,48931,35100,24102,21250,28881,30516,0,27434,20361,25212,24365,32498,21351,5763
dbmdz/bert-base-german-uncased,958,8732,12986,80161,22425,14843,13921,20411,12521,9263,11943,18700,14701,14747,10471,12644,21607
unc-nlp/lxmert-base-uncased,4669,37533,64426,43972,1307893,2000996,826468,241123,87409,0,23916,26113,23880,21914,27537,18029,25436
allegro/herbert-base-cased,6606,61902,84408,66603,54547,29199,32223,36535,45916,38799,37698,27469,35420,36884,54191,32118,5421
google/mobilebert-uncased,542,7208,35597,49889,35952,25820,29261,29812,31469,0,29308,31905,27469,29854,41101,38462,11168
airesearch/wangchanberta-base-att-spm-uncased,579,6730,21951,122195,34134,4628,12698,4598,194082,9583,10450,8064,16986,3837,7293,10756,14189
Norod78/hebrew-bad_wiki-gpt_neo-tiny,15684,156189,155266,144800,158281,10592,1156,1478,1048,341,389,491,1205,1656,1364,750,252
hfl/chinese-electra-180g-base-discriminator,4276,40488,39987,40642,18814,957,786,3739,4942,0,828,883,542,342,564,1006,24099
bhadresh-savani/bert-base-go-emotion,34,857,688,621,722,127962,6240,107888,46870,992,596,19064,18461,17538,2066,1857,41047
shibing624/code-autocomplete-distilgpt2-python,6125,59949,61378,60182,59015,3789,68,64,133,0,38,692,123,25,24,31,25
princeton-nlp/unsup-simcse-bert-base-uncased,347,15866,14201,12404,14432,71694,30059,75539,56286,0,9575,14029,14309,22541,10142,12713,10422
avichr/heBERT_sentiment_analysis,240,112752,63349,64170,415458,3848,5858,2889,5212,2011,515,1267,2192,1274,1970,10181,733
nlpaueb/legal-bert-small-uncased,100,37394,72087,5866,162591,78456,2825,67353,145943,0,2762,3026,3628,4263,5827,2677,1502
nntadotzip/xlnet-base-cased-IUChatbot-ontologyDts-BertPretrainedTokenizerFast,7625,76980,74435,71649,75996,5030,79,82,51,0,9,2,4,3,0,3,2
mrm8488/distilgpt2-finetuned-wsb-tweets,,171738,200795,197469,194520,12671,387,405,441,0,52,24,98,38,0,11,6
geralt/MechDistilGPT2,,145895,170426,172935,181397,11586,281,355,102,0,17,65,14,20,8,5,3
arpanghoshal/EmoRoBERTa,161,2236,43858,110102,2643,44464,2780,4882,45283,5864,12603,4146,7227,21367,9007,17664,241433
funnel-transformer/small,4773,37336,51302,43646,30361,18765,20258,25336,25872,0,23907,163725,63410,21488,28866,17806,3511
facebook/mbart-large-50-one-to-many-mmt,5951,49883,64621,55742,39451,25522,29624,36488,38613,20083,31850,25602,30889,32067,36428,22141,5675
castorini/afriberta_large,8,262,20442,4899,122681,79801,16952,94461,13795,96,1,5,27,1209,616,249,94
huggingface/CodeBERTa-small-v1,2728,33120,41815,30644,26158,27465,29181,66595,34569,0,39692,59982,53135,56626,55090,57815,38370
roberta-base-openai-detector,26391,206694,143476,88797,229,164,217,295,101,0,47,89,99,168,1427,3235,1089
squeezebert/squeezebert-uncased,4251,36865,49865,43554,30159,19490,18985,41308,27187,0,25806,18304,23958,23447,31167,63804,22765
pdelobelle/robbert-v2-dutch-base,172,3662,3970,238427,3515,1916,1352,4514,3212,0,2980,6105,2969,5020,13549,11024,3667
yjernite/retribert-base-uncased,6,1253,20768,37424,28434,17230,16003,23415,25468,0,23288,18577,113373,178308,130036,16302,3740
echarlaix/bert-base-uncased-sst2-acc91.1-d37-hybrid,6,253,680,63248,94358,991,89998,71368,18981,1393,175508,34988,1344,109915,987,1270,1635
dbmdz/bert-base-german-cased,227,1269,28446,95041,70591,11041,4296,14422,8268,4331,6733,4986,4069,965,2915,8099,2975
facebook/mbart-large-en-ro,4351,34953,44092,38245,27036,17670,17807,22141,24984,13495,21059,15402,20175,19427,25345,15423,3537
jhgan/ko-sroberta-multitask,127,603,19307,65990,55538,1672,1933,3103,1517,0,10450,3365,1598,2092,2196,2081,498
google/reformer-crime-and-punishment,3861,32604,44063,37075,27159,16698,18255,22445,23612,0,21023,15466,19202,19293,25536,15611,3749
cardiffnlp/twitter-roberta-base,266,3814,12183,8833,4125,165339,5398,3214,3279,4434,3381,3806,1984,15779,6248,2805,8199
SEBIS/code_trans_t5_small_program_synthese_transfer_learning_finetune,16,479822,3767814,2184932,702170,1763,2350,100952,3847,13096,241,375316,63918,3657,495,511,180
facebook/dpr-reader-single-nq-base,4895,39765,52824,43779,31089,18568,21116,27262,34200,31611,24026,17313,24338,21930,28130,16715,3004
facebook/deit-base-distilled-patch16-224,27,1220,1429,216983,1148,1041,2258,2237,944,224,1120,1300,10640,598,779,471,629
Hate-speech-CNERG/bert-base-uncased-hatexplain,431,772,1086,7415,229354,1288,2070,2673,1494,2295,784,230,790,863,1131,451,616
dbmdz/bert-base-italian-cased,34,1893,1837,2734,5647,139730,118215,654,818,2248,1520,1012,1202,618,1360,1610,1316
asafaya/bert-mini-arabic,87017,80569,76731,412,267,391,448,587,134,194,268,125,58,250,320,302,139
speechbrain/spkrec-ecapa-voxceleb,,4,2,14,7,5,3,15,17,0,2,6,5,6,2,8,5
