model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
elastic/distilbert-base-cased-finetuned-conll03-english,https://huggingface.co/elastic/distilbert-base-cased-finetuned-conll03-english,15559,Yes,79.0,Yes,Yes,2.0,0.0,2021.0,2021-02-09
vasudevgupta/bigbird-roberta-natural-questions,https://huggingface.co/vasudevgupta/bigbird-roberta-natural-questions,15037,Yes,83.0,Yes,Yes,0.0,0.0,2021.0,2021-05-04
alvaroalon2/biobert_diseases_ner,https://huggingface.co/alvaroalon2/biobert_diseases_ner,14277,Yes,28.0,Yes,Yes,0.0,0.0,2021.0,2021-05-28
SkolkovoInstitute/roberta_toxicity_classifier_v1,https://huggingface.co/SkolkovoInstitute/roberta_toxicity_classifier_v1,14192,Yes,41.0,Yes,Yes,0.0,0.0,2021.0,2021-11-02
kha-white/manga-ocr-base,https://huggingface.co/kha-white/manga-ocr-base,12074,Yes,80.0,Yes,Yes,1.0,0.0,2022.0,2022-01-15
DaNLP/da-bert-ner,https://huggingface.co/DaNLP/da-bert-ner,12026,Yes,80.0,Yes,Yes,2.0,0.0,2021.0,2021-09-17
StanfordAIMI/stanford-deidentifier-base,https://huggingface.co/StanfordAIMI/stanford-deidentifier-base,11528,Yes,46.0,Yes,Yes,0.0,0.0,2022.0,2022-06-16
castorini/monot5-base-msmarco-10k,https://huggingface.co/castorini/monot5-base-msmarco-10k,8424,Yes,78.0,Yes,Yes,0.0,0.0,2021.0,2021-01-05
IlyaGusev/news_tg_rubert,https://huggingface.co/IlyaGusev/news_tg_rubert,8059,Yes,4.0,Yes,Yes,1.0,0.0,2021.0,2021-05-04
DaNLP/da-electra-hatespeech-detection,https://huggingface.co/DaNLP/da-electra-hatespeech-detection,7942,Yes,86.0,Yes,Yes,2.0,0.0,2022.0,2022-02-16
nreimers/MiniLMv2-L6-H384-distilled-from-BERT-Large,https://huggingface.co/nreimers/MiniLMv2-L6-H384-distilled-from-BERT-Large,7892,Yes,8.0,Yes,Yes,1.0,0.0,2021.0,2021-06-20
Wikidepia/marian-nmt-enid,https://huggingface.co/Wikidepia/marian-nmt-enid,7303,Yes,4.0,Yes,Yes,0.0,1.0,2021.0,2021-05-06
SkolkovoInstitute/t5-paraphrase-paws-msrp-opinosis-paranmt,https://huggingface.co/SkolkovoInstitute/t5-paraphrase-paws-msrp-opinosis-paranmt,7149,Yes,38.0,Yes,Yes,0.0,0.0,2021.0,2021-11-02
microsoft/unixcoder-base-nine,https://huggingface.co/microsoft/unixcoder-base-nine,6839,Yes,3.0,Yes,Yes,0.0,1.0,2022.0,2022-04-02
arampacha/roberta-tiny,https://huggingface.co/arampacha/roberta-tiny,6489,Yes,7.0,Yes,Yes,1.0,0.0,2022.0,2022-05-20
gogamza/kobart-base-v1,https://huggingface.co/gogamza/kobart-base-v1,6156,Yes,15.0,Yes,Yes,1.0,0.0,2021.0,2021-10-16
fxmarty/resnet-tiny-beans,https://huggingface.co/fxmarty/resnet-tiny-beans,5481,Yes,16.0,Yes,Yes,0.0,0.0,2022.0,2022-07-27
samrawal/bert-base-uncased_clinical-ner,https://huggingface.co/samrawal/bert-base-uncased_clinical-ner,5208,Yes,39.0,Yes,Yes,0.0,0.0,2021.0,2021-03-04
akreal/tiny-random-bert,https://huggingface.co/akreal/tiny-random-bert,5171,Yes,13.0,Yes,Yes,0.0,0.0,2021.0,2021-07-24
stas/t5-very-small-random,https://huggingface.co/stas/t5-very-small-random,4640,Yes,18.0,Yes,Yes,0.0,0.0,2021.0,2021-01-30
Zixtrauce/JohnBot,https://huggingface.co/Zixtrauce/JohnBot,4334,Yes,1.0,Yes,Yes,0.0,0.0,2022.0,2022-01-02
prithivida/informal_to_formal_styletransfer,https://huggingface.co/prithivida/informal_to_formal_styletransfer,3994,Yes,13.0,Yes,Yes,1.0,0.0,2021.0,2021-06-15
anferico/bert-for-patents,https://huggingface.co/anferico/bert-for-patents,3984,Yes,83.0,Yes,Yes,2.0,0.0,2021.0,2021-10-04
