model_name,HF_URL,downloads,has_modelcard,word_cnt,short_model_card(<=300),very_short_model_card(<=100),nonempty_section_num,empty_section_num,creation_year,creation_time
wietsedv/xlm-roberta-base-ft-udpos28-tr,https://huggingface.co/wietsedv/xlm-roberta-base-ft-udpos28-tr,6990,Yes,53.0,Yes,Yes,2.0,0.0,2022.0,2022-02-24
DaNLP/da-bert-tone-sentiment-polarity,https://huggingface.co/DaNLP/da-bert-tone-sentiment-polarity,11641,Yes,82.0,Yes,Yes,2.0,0.0,2021.0,2021-08-20
sberbank-ai/ruRoberta-large,https://huggingface.co/sberbank-ai/ruRoberta-large,69255,Yes,28.0,Yes,Yes,1.0,0.0,2021.0,2021-07-06
stanfordnlp/stanza-en,https://huggingface.co/stanfordnlp/stanza-en,5871,Yes,76.0,Yes,Yes,1.0,0.0,2021.0,2021-09-07
kykim/bertshared-kor-base,https://huggingface.co/kykim/bertshared-kor-base,168455,Yes,47.0,Yes,Yes,1.0,0.0,2021.0,2021-01-29
castorini/monot5-base-msmarco-10k,https://huggingface.co/castorini/monot5-base-msmarco-10k,8424,Yes,78.0,Yes,Yes,0.0,0.0,2021.0,2021-01-05
alvaroalon2/biobert_diseases_ner,https://huggingface.co/alvaroalon2/biobert_diseases_ner,14277,Yes,28.0,Yes,Yes,0.0,0.0,2021.0,2021-05-28
gogamza/kobart-base-v1,https://huggingface.co/gogamza/kobart-base-v1,6156,Yes,15.0,Yes,Yes,1.0,0.0,2021.0,2021-10-16
StanfordAIMI/stanford-deidentifier-base,https://huggingface.co/StanfordAIMI/stanford-deidentifier-base,11528,Yes,46.0,Yes,Yes,0.0,0.0,2022.0,2022-06-16
SkolkovoInstitute/t5-paraphrase-paws-msrp-opinosis-paranmt,https://huggingface.co/SkolkovoInstitute/t5-paraphrase-paws-msrp-opinosis-paranmt,7149,Yes,38.0,Yes,Yes,0.0,0.0,2021.0,2021-11-02
ufal/robeczech-base,https://huggingface.co/ufal/robeczech-base,39355,Yes,60.0,Yes,Yes,1.0,0.0,2021.0,2021-05-23
alvaroalon2/biobert_genetic_ner,https://huggingface.co/alvaroalon2/biobert_genetic_ner,11729,Yes,32.0,Yes,Yes,0.0,0.0,2021.0,2021-05-28
microsoft/unixcoder-base-nine,https://huggingface.co/microsoft/unixcoder-base-nine,6839,Yes,3.0,Yes,Yes,0.0,1.0,2022.0,2022-04-02
anferico/bert-for-patents,https://huggingface.co/anferico/bert-for-patents,3984,Yes,83.0,Yes,Yes,2.0,0.0,2021.0,2021-10-04
prithivida/parrot_adequacy_model,https://huggingface.co/prithivida/parrot_adequacy_model,109488,Yes,47.0,Yes,Yes,0.0,0.0,2022.0,2022-05-27
nreimers/MiniLMv2-L6-H384-distilled-from-BERT-Large,https://huggingface.co/nreimers/MiniLMv2-L6-H384-distilled-from-BERT-Large,7892,Yes,8.0,Yes,Yes,1.0,0.0,2021.0,2021-06-20
AlexKay/xlm-roberta-large-qa-multilingual-finedtuned-ru,https://huggingface.co/AlexKay/xlm-roberta-large-qa-multilingual-finedtuned-ru,7198,Yes,55.0,Yes,Yes,3.0,0.0,2021.0,2021-07-06
openai/clip-vit-large-patch14-336,https://huggingface.co/openai/clip-vit-large-patch14-336,33649,Yes,95.0,Yes,Yes,4.0,4.0,2022.0,2022-04-22
castorini/ance-msmarco-passage,https://huggingface.co/castorini/ance-msmarco-passage,5694,Yes,55.0,Yes,Yes,0.0,0.0,2021.0,2021-03-12
stanfordnlp/stanza-fr,https://huggingface.co/stanfordnlp/stanza-fr,24911,Yes,76.0,Yes,Yes,1.0,0.0,2021.0,2021-09-07
sberbank-ai/ruBert-base,https://huggingface.co/sberbank-ai/ruBert-base,10494,Yes,28.0,Yes,Yes,1.0,0.0,2021.0,2021-07-06
typeform/mobilebert-uncased-mnli,https://huggingface.co/typeform/mobilebert-uncased-mnli,54357,Yes,25.0,Yes,Yes,1.0,0.0,2021.0,2021-02-14
